,pred,rel,labels,source,target
24,1,0,0,Trams disappeared from most British cities in the 1950s .,disappear
25,0,0,0,London 's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952 .,rumble
26,1,1,1,"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",growl
27,1,1,1,"Somehow the image of the tall , thin , mournful double-deck tram with its wooden body , slatted wooden seats and growling electric motor has stuck in the British mind .",stuck
28,0,0,0,"Trams , it was believed until surprisingly recently , are old-fashioned .",believe
29,1,0,0,"They had something to do with fish and chips wrapped in newspaper , men in hats , National Health specs , smog and powdered egg .",wrap
30,1,1,1,"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",hold
31,0,1,1,"They held up the bright new diesel buses and , even worse , blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares .",block
32,1,1,1,They picked up power from a spider 's web of unsightly overhead wires .,pick
33,0,0,0,"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled Ã¢ÂÂ Do Not Spit signs screwed to their bulkheads .",spit
34,0,0,0,"They were inflexible in operation , draughty , and mobile reminders of TB epidemics with the enamelled Ã¢ÂÂ Do Not Spit signs screwed to their bulkheads .",screw
35,1,1,1,It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .,play
36,1,1,1,It plays a key role in keeping city streets on the move and is even the object of the best modern designers ' desire .,keep
37,0,0,0,"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",design
38,0,1,1,"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",go
39,1,1,1,"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",lead
40,1,1,1,"In Milan , for example , the commission to design the new generation of Ã¢ÂÂ Jumbo trams , which went into service in 1979 , was one that leading Italian architects and designers fought over .",fight
41,0,0,0,"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",impose
42,0,0,0,"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",design
43,0,0,0,"After all , the Jumbo , a handsome and imposing articulated unit designed by architect , engineer and critic Klaus Giovanni Koenig , will be seen on the streets of Milan for the next half-century .",see
44,0,1,1,"Assuming the power station at the end of the line burns cleanly , the tram is virtually pollution free .",assume
45,0,1,1,"Standing at traffic lights a Koenig-designed Jumbo is , save for the chatter inside , completely silent .",stand
46,0,0,0,"Standing at traffic lights a Koenig-designed Jumbo is , save for the chatter inside , completely silent .",save
47,0,0,0,The overhead wires are so slight that you have to look hard to see them .,look
48,0,0,0,The overhead wires are so slight that you have to look hard to see them .,see
49,0,0,0,"Powers of acceleration and braking are remarkable , the latter far greater than any car .",brake
50,0,1,1,"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",design
51,0,1,1,"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",operate
52,0,1,1,"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",maintain
53,1,1,1,"But sadly , there is no indication that the GMA consortium which will design , operate and maintain the first of the new generation British trams in Manchester will share the looks of their Milanese counterparts .",share
54,1,1,1,"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",show
55,0,1,1,"Artists ' impressions show a tram that has more in common with the flat-faced , characterless light trains of the toy-like Docklands Light Railway .",flat
56,1,1,1,"There is still time for GMA ( GEC , Mowlem , Amec and Greater Manchester Buses ) to consider employing an inspired architect or industrial designer .",consider
57,0,0,0,"There is still time for GMA ( GEC , Mowlem , Amec and Greater Manchester Buses ) to consider employing an inspired architect or industrial designer .",employ
58,0,0,0,"After all , Mancunians and visitors to the Manchester conurbation are going to have to look at these mechanical millipedes for well into the twenty-first century .",go
59,0,0,0,"After all , Mancunians and visitors to the Manchester conurbation are going to have to look at these mechanical millipedes for well into the twenty-first century .",look
60,1,0,0,"Now that buses are no longer designed to enhance the streets they serve , Manchester has a chance to make a fresh start with its trams .",design
61,0,0,0,"Now that buses are no longer designed to enhance the streets they serve , Manchester has a chance to make a fresh start with its trams .",enhance
62,1,1,1,"Now that buses are no longer designed to enhance the streets they serve , Manchester has a chance to make a fresh start with its trams .",serve
63,1,1,1,"Now that buses are no longer designed to enhance the streets they serve , Manchester has a chance to make a fresh start with its trams .",make
64,1,1,1,"Other British towns , Croydon and Southampton among them , are also considering modern tramways .",consider
65,0,0,0,"These are all referred to as Ã¢ÂÂ supertram networks , the implication being that the new-generation tram is an altogether more dynamic form of transport than its pre-war predecessors .",refer
66,0,1,1,What it really means is that the new trams are a hybrid between street car and lightweight suburban train .,mean
67,0,1,1,"Although they will slip through the city centre serving the essential parts Ã¢ÂÂ shopping malls , leisure centres , theme parks , amusement arcades and museums Ã¢ÂÂ the Manchester supertrams will also head out of town on a mix of reserved track and existing railway lines .",slip
68,0,1,1,"Although they will slip through the city centre serving the essential parts Ã¢ÂÂ shopping malls , leisure centres , theme parks , amusement arcades and museums Ã¢ÂÂ the Manchester supertrams will also head out of town on a mix of reserved track and existing railway lines .",serve
69,0,1,1,"Although they will slip through the city centre serving the essential parts Ã¢ÂÂ shopping malls , leisure centres , theme parks , amusement arcades and museums Ã¢ÂÂ the Manchester supertrams will also head out of town on a mix of reserved track and existing railway lines .",head
70,0,0,0,"Although they will slip through the city centre serving the essential parts Ã¢ÂÂ shopping malls , leisure centres , theme parks , amusement arcades and museums Ã¢ÂÂ the Manchester supertrams will also head out of town on a mix of reserved track and existing railway lines .",exist
71,0,1,1,"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",rasp
72,0,1,1,"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",change
73,0,0,0,"The supertram is , in effect , a low-cost replacement for British Rail 's ageing fleet of suburban diesel multiple-unit trains , those rasping diesels which change gear to the accompaniment of voluminous clouds of acrid black exhaust fumes and the blessing of train spotters .",fume
74,0,1,1,"They will perform some of the same functions , but they will not be an exact replacement for traditional trams .",perform
75,1,1,1,"And although the supertram concept will spread through major cities during the next decade , Blackpool will still be alone in its use of traditional double-deckers .",spread
76,0,1,1,"IT WAS unfair of Auden to suggest , in his Ã¢ÂÂ Letter to Lord Byron , that a poet 's Ã¢ÂÂ sense of other people 's very hazy .",suggest
77,1,1,1,But the vaporous presences that float through this slender and anaemic first novel by a notable poet would appear to support the claim .,float
78,0,0,0,But the vaporous presences that float through this slender and anaemic first novel by a notable poet would appear to support the claim .,appear
79,1,1,1,But the vaporous presences that float through this slender and anaemic first novel by a notable poet would appear to support the claim .,support
80,1,1,1,The book Ã¢ÂÂ which opens a projected sequence of novels that will cover the period from 1968 to the present day Ã¢ÂÂ aims to explore what the blurb describes as Ã¢ÂÂ the painful transition from youth to adulthood .,open
81,1,1,1,The book Ã¢ÂÂ which opens a projected sequence of novels that will cover the period from 1968 to the present day Ã¢ÂÂ aims to explore what the blurb describes as Ã¢ÂÂ the painful transition from youth to adulthood .,cover
82,1,1,1,The book Ã¢ÂÂ which opens a projected sequence of novels that will cover the period from 1968 to the present day Ã¢ÂÂ aims to explore what the blurb describes as Ã¢ÂÂ the painful transition from youth to adulthood .,aim
83,1,1,1,The book Ã¢ÂÂ which opens a projected sequence of novels that will cover the period from 1968 to the present day Ã¢ÂÂ aims to explore what the blurb describes as Ã¢ÂÂ the painful transition from youth to adulthood .,explore
84,1,1,1,The book Ã¢ÂÂ which opens a projected sequence of novels that will cover the period from 1968 to the present day Ã¢ÂÂ aims to explore what the blurb describes as Ã¢ÂÂ the painful transition from youth to adulthood .,describe
85,0,0,0,"This , of course , is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .",seem
86,1,0,0,"This , of course , is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .",offer
87,1,1,1,"This , of course , is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .",probe
88,1,1,1,What Andrew Motion presents us with here is a static and humourless mood-piece filled with over-elaborate imagery .,present
89,1,1,1,What Andrew Motion presents us with here is a static and humourless mood-piece filled with over-elaborate imagery .,fill
90,0,0,0,"The hero , Francis Mayne , is suffering from the adolescent 's emotional confusion and acute self-consciousness .",suffer
91,1,1,1,"He finds it hard to communicate with people , not least his separated parents .",find
92,0,0,0,"He finds it hard to communicate with people , not least his separated parents .",communicate
93,0,0,0,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",realise
94,0,0,0,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",think
95,0,0,0,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",visit
96,0,0,0,"His mother , by contrast , is the most vividly realised character in the book : nervy , flirtatious and selfish , already on her third husband , she thinks primarily of her appearance , even when visiting her dying daughter , Francis 's twin .",die
97,1,1,1,The first half of the novel is dominated by the girl 's death from leukaemia .,dominate
98,1,1,1,"There is a refreshing simplicity and tenderness in Motion 's account of the way Francis nurses her , but she herself is too sketchily drawn for the episode to carry much weight .",draw
99,1,1,1,"There is a refreshing simplicity and tenderness in Motion 's account of the way Francis nurses her , but she herself is too sketchily drawn for the episode to carry much weight .",carry
100,1,1,1,"Meanwhile , at his public school , Francis is conducting a love-affair with an older pupil named Keith Ogilvie .",conduct
101,0,0,0,"Meanwhile , at his public school , Francis is conducting a love-affair with an older pupil named Keith Ogilvie .",name
102,0,0,0,"He is finally rejected by the devious , arrogant Keith , who informs him that he is Ã¢ÂÂ obsolete because he does not Ã¢ÂÂ know how to make things happen .",reject
103,0,0,0,"He is finally rejected by the devious , arrogant Keith , who informs him that he is Ã¢ÂÂ obsolete because he does not Ã¢ÂÂ know how to make things happen .",inform
104,0,0,0,"He is finally rejected by the devious , arrogant Keith , who informs him that he is Ã¢ÂÂ obsolete because he does not Ã¢ÂÂ know how to make things happen .",know
105,1,1,1,"He is finally rejected by the devious , arrogant Keith , who informs him that he is Ã¢ÂÂ obsolete because he does not Ã¢ÂÂ know how to make things happen .",make
106,0,0,0,"He is finally rejected by the devious , arrogant Keith , who informs him that he is Ã¢ÂÂ obsolete because he does not Ã¢ÂÂ know how to make things happen .",happen
107,0,0,0,His response to this rejection is as flat as his reaction to the massive demonstration which Keith has earlier persuaded him to join against the Vietnam War .,persuade
108,1,1,1,His response to this rejection is as flat as his reaction to the massive demonstration which Keith has earlier persuaded him to join against the Vietnam War .,join
109,0,0,0,"This violent event , described at length in hysterically colourful terms , is the only piece of history to be woven convincingly into the plot .",describe
110,1,1,1,"This violent event , described at length in hysterically colourful terms , is the only piece of history to be woven convincingly into the plot .",weave
111,0,1,1,"Other broad hints as to the date are inserted with a comical lack of subtlety : Ã¢ÂÂ My God , darling , have you heard ? exclaims Francis 's mother one day as she greets him , Ã¢ÂÂ Czechoslovakia .",insert
112,0,0,0,"Other broad hints as to the date are inserted with a comical lack of subtlety : Ã¢ÂÂ My God , darling , have you heard ? exclaims Francis 's mother one day as she greets him , Ã¢ÂÂ Czechoslovakia .",hear
113,0,0,0,"Other broad hints as to the date are inserted with a comical lack of subtlety : Ã¢ÂÂ My God , darling , have you heard ? exclaims Francis 's mother one day as she greets him , Ã¢ÂÂ Czechoslovakia .",exclaim
114,0,0,0,"Other broad hints as to the date are inserted with a comical lack of subtlety : Ã¢ÂÂ My God , darling , have you heard ? exclaims Francis 's mother one day as she greets him , Ã¢ÂÂ Czechoslovakia .",greet
115,0,0,0,It 's been invaded .,invade
116,0,0,0,Motion will have to do better than this if he seriously intends his series of novels to capture the feel of a period .,intend
117,1,1,1,Motion will have to do better than this if he seriously intends his series of novels to capture the feel of a period .,capture
118,0,0,0,But the book 's principal defect remains the vacuity of its protagonist .,remain
119,0,0,0,"In his eagerness to depict the cloudy psychology of an adolescent , Motion has forgotten to give the boy a personality .",depict
120,0,0,0,"In his eagerness to depict the cloudy psychology of an adolescent , Motion has forgotten to give the boy a personality .",forget
121,1,1,1,"In his eagerness to depict the cloudy psychology of an adolescent , Motion has forgotten to give the boy a personality .",give
122,1,1,1,"He has , however , given him a psychotic compulsion to formulate fanciful similes .",give
123,0,0,0,"He has , however , given him a psychotic compulsion to formulate fanciful similes .",formulate
124,1,1,1,"Hardly a page goes by without the hapless Francis noticing something which reminds him , improbably , of something else .",go
125,0,0,0,"Hardly a page goes by without the hapless Francis noticing something which reminds him , improbably , of something else .",noticing
126,0,0,0,"Hardly a page goes by without the hapless Francis noticing something which reminds him , improbably , of something else .",remind
127,0,0,0,Sometimes he is reminded of several things .,remind
128,0,0,0,"One moment an avenue of chestnut trees looks Ã¢ÂÂ like a child 's drawing of ghosts ; the next it appears Ã¢ÂÂ frightening but derelict , like extinguished chandeliers ; and finally the chestnuts Ã¢ÂÂ prance at him , holding up their gleaming branches like hysterics .",look
129,0,0,0,"One moment an avenue of chestnut trees looks Ã¢ÂÂ like a child 's drawing of ghosts ; the next it appears Ã¢ÂÂ frightening but derelict , like extinguished chandeliers ; and finally the chestnuts Ã¢ÂÂ prance at him , holding up their gleaming branches like hysterics .",appear
130,0,1,1,"One moment an avenue of chestnut trees looks Ã¢ÂÂ like a child 's drawing of ghosts ; the next it appears Ã¢ÂÂ frightening but derelict , like extinguished chandeliers ; and finally the chestnuts Ã¢ÂÂ prance at him , holding up their gleaming branches like hysterics .",extinguish
131,0,1,1,"One moment an avenue of chestnut trees looks Ã¢ÂÂ like a child 's drawing of ghosts ; the next it appears Ã¢ÂÂ frightening but derelict , like extinguished chandeliers ; and finally the chestnuts Ã¢ÂÂ prance at him , holding up their gleaming branches like hysterics .",prance
132,0,1,1,"One moment an avenue of chestnut trees looks Ã¢ÂÂ like a child 's drawing of ghosts ; the next it appears Ã¢ÂÂ frightening but derelict , like extinguished chandeliers ; and finally the chestnuts Ã¢ÂÂ prance at him , holding up their gleaming branches like hysterics .",hold
133,0,0,0,"One moment an avenue of chestnut trees looks Ã¢ÂÂ like a child 's drawing of ghosts ; the next it appears Ã¢ÂÂ frightening but derelict , like extinguished chandeliers ; and finally the chestnuts Ã¢ÂÂ prance at him , holding up their gleaming branches like hysterics .",gleam
134,1,0,0,"Such writing rapidly palls , and I hope that in the novels to come , Motion can curb his reckless passion for it .",pall
135,0,0,0,"Such writing rapidly palls , and I hope that in the novels to come , Motion can curb his reckless passion for it .",hope
136,1,1,1,"Such writing rapidly palls , and I hope that in the novels to come , Motion can curb his reckless passion for it .",come
137,0,0,0,"Such writing rapidly palls , and I hope that in the novels to come , Motion can curb his reckless passion for it .",curb
138,1,1,1,Travel : A pilgrimage sans progress Elisabeth de Stroumillo potters round Poitou,progress
139,0,0,0,Travel : A pilgrimage sans progress Elisabeth de Stroumillo potters round Poitou,round
140,0,0,0,PEOPLE tend to look vague when you mention Poitou .,tend
141,0,1,1,PEOPLE tend to look vague when you mention Poitou .,look
142,0,0,0,PEOPLE tend to look vague when you mention Poitou .,mention
143,0,0,0,Ã¢ÂÂ Umm Ã¢ÂÂ¦ not a part of France we know Ã¢ÂÂ¦ where exactly is it ?,know
144,0,0,0,"Inland of La Rochelle , you say ; north of Cognac and east of Limoges .",say
145,0,0,0,"You sort of pass it without realising , going to the Dordogne .",realise
146,0,0,0,"You sort of pass it without realising , going to the Dordogne .",go
147,0,0,0,"Well , better than that , and one of the best things about it is the fact that so few people , except the French themselves , bother with it .",bother
148,1,1,1,"Even for France , the variety to be found is enormous .",find
149,0,0,0,"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",proportion
150,0,1,1,"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",elevated
151,0,0,0,"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",go
152,0,0,0,"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",look
153,0,1,1,"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",go
154,0,1,1,"My passion is for its numerous Romanesque churches , in most cases humbly proportioned but elevated into unique works of art by the richness of their exquisitely-sculpted decoration ; to go to Poitou/Saintonge and not look at any of its churches would be like going to an African game reserve and ignoring the animals .",ignore
155,0,0,0,"For serious drinkers there is the production of cognac to investigate around Cognac , plus the chance to sample pineau , the powerful local aperitif made from young wine laced with cognac .",investigate
156,1,0,0,"For serious drinkers there is the production of cognac to investigate around Cognac , plus the chance to sample pineau , the powerful local aperitif made from young wine laced with cognac .",make
157,1,1,1,"For serious drinkers there is the production of cognac to investigate around Cognac , plus the chance to sample pineau , the powerful local aperitif made from young wine laced with cognac .",laced
158,0,0,0,"To the north , where Poitou borders on the Vendee , shapely clumps of trees are almost the only punctuation marks on widespreading marshy landscapes ; to the south it bubbles with little rolling hills .",widespread
159,1,1,1,"To the north , where Poitou borders on the Vendee , shapely clumps of trees are almost the only punctuation marks on widespreading marshy landscapes ; to the south it bubbles with little rolling hills .",bubble
160,1,0,0,"The lower reaches of the Sevre Niortaise are swollen with the waters that once covered the whole area , until medieval monks started to dig a spider-web of ditches to drain it .",cover
161,0,0,0,"The lower reaches of the Sevre Niortaise are swollen with the waters that once covered the whole area , until medieval monks started to dig a spider-web of ditches to drain it .",start
162,0,0,0,"The lower reaches of the Sevre Niortaise are swollen with the waters that once covered the whole area , until medieval monks started to dig a spider-web of ditches to drain it .",dig
163,1,0,0,"The lower reaches of the Sevre Niortaise are swollen with the waters that once covered the whole area , until medieval monks started to dig a spider-web of ditches to drain it .",drain
164,0,1,1,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",take
165,0,0,0,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",change
166,0,0,0,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",know
167,0,0,0,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",ruin
168,0,0,0,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",eat
169,0,0,0,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",call
170,0,1,1,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",drift
171,0,0,0,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",ferry
172,0,1,1,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",follow
173,0,1,1,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",twist
174,0,1,1,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",mark
175,0,1,1,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",proclaim
176,0,0,0,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",twitch
177,0,1,1,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",algae
178,0,1,1,"Drifting between grassy polders to which farmers have to ferry their cattle in punts , or following leafy twisting lanes marked only by rusty signs proclaiming the Ã¢ÂÂ Venise Verte , you 're in an all-green , mysteriously silent world ; only the occasional fisherman , twitching his rod above the algae-smothered waters , disturbs the stillness .",disturb
179,0,1,1,"There is more greenery further south in the deep forest of Chize ( with the fine Renaissance chateau of Dampierre-sur-Boutonne at its edge ) ; and more marshes to the west around Rochefort and Marennes , where those mussels and oysters are raised .",raise
180,1,1,1,One of the region 's strangest townlets sits on those marshes : Brouage .,sit
181,0,0,0,"It had a son to be proud of : Samuel Champlain , founder of Quebec , who was born there around 1569 .",bear
182,0,0,0,She went there when her romance with the young king was quashed for political reasons .,go
183,1,1,1,She went there when her romance with the young king was quashed for political reasons .,quash
184,0,0,0,"Months later , when Marie had departed , Louis is said to have paused nostalgically at Brouage on his way to Paris after marrying the Spanish Infanta at St Jean-de-Luz .",depart
185,0,0,0,"Months later , when Marie had departed , Louis is said to have paused nostalgically at Brouage on his way to Paris after marrying the Spanish Infanta at St Jean-de-Luz .",say
186,0,0,0,"Months later , when Marie had departed , Louis is said to have paused nostalgically at Brouage on his way to Paris after marrying the Spanish Infanta at St Jean-de-Luz .",pause
187,0,0,0,"Months later , when Marie had departed , Louis is said to have paused nostalgically at Brouage on his way to Paris after marrying the Spanish Infanta at St Jean-de-Luz .",marry
188,0,0,0,"As you come back from Brouage towards St Jean-d'Angely Ã¢ÂÂ on the D18 via the canalside village of Pont-l'Abbe-d'Arnoult , with a lovely Romanesque church faade Ã¢ÂÂ a sign at the junction of the D122 points you to the chateau whose improbably perfect lake and gardens stare at you from posters throughout the region : La Roche Courbon .",come
